,name,Cv_gravimetric_250.00_mean,Cv_gravimetric_250.00_std,Cv_molar_250.00_mean,Cv_molar_250.00_std,Cv_gravimetric_275.00_mean,Cv_gravimetric_275.00_std,Cv_molar_275.00_mean,Cv_molar_275.00_std,Cv_gravimetric_300.00_mean,Cv_gravimetric_300.00_std,Cv_molar_300.00_mean,Cv_molar_300.00_std,Cv_gravimetric_325.00_mean,Cv_gravimetric_325.00_std,Cv_molar_325.00_mean,Cv_molar_325.00_std,Cv_gravimetric_350.00_mean,Cv_gravimetric_350.00_std,Cv_molar_350.00_mean,Cv_molar_350.00_std,Cv_gravimetric_375.00_mean,Cv_gravimetric_375.00_std,Cv_molar_375.00_mean,Cv_molar_375.00_std,Cv_gravimetric_400.00_mean,Cv_gravimetric_400.00_std,Cv_molar_400.00_mean,Cv_molar_400.00_std
75,GIU,0.6522458010873248,0.0065632756176487,13.06324412875705,0.1314499403978301,0.6954562412198557,0.00562206346424,13.928667144775392,0.112599249268146,0.7364195169122886,0.0047693509088591,14.749083726671008,0.0955210369377223,0.7741272923908988,0.0056388656397873,15.504298824734157,0.1129357649202249,0.8074866225171518,0.0060778167851639,16.172422824435763,0.1217271223549422,0.8360445177444525,0.0059013680357021,16.744383205837675,0.1181931891558464,0.8605767038045053,0.0070028219658342,17.235716281467013,0.1402532186139242
76,GME,0.645919203015748,0.007728141105524,12.936534389919707,0.1547799828755462,0.6899899884030449,0.0075178252507216,13.819188486735026,0.1505677559039784,0.7327652011188276,0.0067157522633657,14.675894724527996,0.134503757905915,0.7734486431641127,0.0070745037325431,15.490706770155166,0.1416888682057474,0.8076099352518002,0.0080687344769283,16.17489254421658,0.1616014209773691,0.8360151011347935,0.008110820656438,16.74379404703776,0.1624443271892069,0.8634248715894879,0.0083879362788734,17.292759670681424,0.1679944265869054
77,GON,0.665448452516987,0.005359803661806,13.327668151855471,0.1073466837190172,0.7070059648875622,0.0053496316259326,14.159986165364584,0.1071429571673412,0.7459817145438086,0.0046480207098501,14.940596377054849,0.093091023578949,0.7817648222019465,0.0044749003249826,15.657264035542806,0.0896237511987852,0.8135012771249105,0.0053158109298622,16.292884928385416,0.1064655928843736,0.8421156289634253,0.0053506929071488,16.86597602844238,0.1071642126136688,0.8698711874320567,0.0074290994395337,17.421867129007975,0.1487907464849256
78,GOO,0.661276912941102,0.0031855143752603,13.244120140075683,0.0637998004591523,0.70514592451199,0.002758969555857,14.122733090718588,0.055256918161661,0.7455160316243308,0.002648611542357,14.931269632975258,0.053046656831482,0.7825427596817618,0.0028450152247519,15.672844645182291,0.0569802494228555,0.8155825814080175,0.0030538137513932,16.334569498697917,0.061162087194279,0.8457121878891993,0.0031417048360089,16.93800827026367,0.0629223786260709,0.8734905084647983,0.0028955677800764,17.494355252583823,0.0579927210561498
79,HEU,0.655037275235174,0.0052231506696983,13.119152052137586,0.1046097839277855,0.6991078340369786,0.0040756451870163,14.001801610876017,0.0816274293700814,0.7401597819724384,0.0040226695578947,14.823994129322193,0.0805664281724717,0.7780673942859991,0.0044715871028403,15.58321157949942,0.0895573936543962,0.8112073041572194,0.0047432388931173,16.246941008391204,0.0949980628752434,0.840738114597392,0.0044324374741527,16.83838703296803,0.0887733009760779,0.8687872873013736,0.0045140872594738,17.40015866880064,0.0904085910414686
80,IFO,0.6567898180073191,0.0040353834305662,13.154252154032388,0.0808210628857235,0.7013876880901846,0.0034210990397557,14.04746275583903,0.0685181136781327,0.7428245489769492,0.0032851690312328,14.877364349365234,0.0657956938744343,0.7806900548351392,0.0032410316614614,15.635738487243655,0.0649117062189163,0.8140418339928119,0.003379521310933,16.303711255391438,0.0676853907674982,0.8440811704223126,0.003483178534922,16.90534208933512,0.069761448015273,0.8721394753258228,0.0033346177428903,17.46729662577311,0.0667860576163825
81,IFR,0.6567356015026751,0.004470319823241,13.153166300455728,0.0895320124518537,0.7008037827793114,0.0036353324515256,14.035768241882325,0.0728088018724009,0.7420607740074577,0.0032758466713564,14.862067387898762,0.0656089847185938,0.7791954138287838,0.003855524041299,15.605803667704263,0.0772188210515406,0.8123076950135385,0.0038233148739181,16.268979746500648,0.07657373262632,0.8419306446240721,0.0035604873918993,16.86227114359538,0.0713097975336993,0.8699420609331974,0.0036916007702919,17.423286590576172,0.0739357493874844
82,IFW,0.6562882313750467,0.0050417416145007,13.144206326802571,0.1009765052293827,0.7002171506122116,0.0037624867504375,14.024019114176433,0.0753554608864387,0.741227794664886,0.0036405351339841,14.845384394327798,0.0729130017169476,0.7790941214369528,0.0039625093053002,15.60377497355143,0.0793615326174843,0.8122633129682534,0.0042718509781387,16.268090858459473,0.0855570585752602,0.8421014296294324,0.0041712246472635,16.86569164276123,0.0835417043578584,0.8705829191283043,0.003896777933764,17.43612176259359,0.0780450581352203
83,IFY,0.6590513206108775,0.0040101547578248,13.199545754326714,0.0803157805051922,0.7033566537270883,0.0036627026210407,14.0868973965115,0.073356974364466,0.7446686004728352,0.0031139625324232,14.91429719712999,0.0623667529956253,0.7821329867324711,0.002745448209811,15.664637671576608,0.0549861112909174,0.8150967773159026,0.0031161709336305,16.324839765760633,0.0624109830758466,0.845406531961158,0.0030071108944774,16.93188656277127,0.0602267177056833,0.8735403801996844,0.0026796050633243,17.4953540886773,0.0536673981687659
84,IHW,0.6613462347689908,0.003658209273441,13.245508524576822,0.0732669811494039,0.7048875162242285,0.0028472531879173,14.117557663690476,0.0570250715729274,0.7454368901209705,0.0026438394252118,14.92968457903181,0.0529510803920857,0.7830074265037738,0.0029810088137987,15.682151038760232,0.0597039426236436,0.81618756709068,0.0034170543277829,16.346686212448848,0.0684371057822691,0.8456153721127935,0.0031039810274172,16.93606923421224,0.0621668424152162,0.873269302241632,0.0030976023456591,17.48992491222563,0.0620390895390958
85,IMF,0.6584329503204319,0.0044563363081413,13.187160972312643,0.089251949213085,0.7021986988688154,0.0034484751416398,14.063705760814525,0.0690664049842772,0.7431413360936504,0.003205953064556,14.883708993417248,0.0642091485722356,0.7810574107968872,0.0035465631652876,15.643095929181134,0.0710309217306971,0.8144469817622167,0.0042042208747833,16.311825595431856,0.0842025561022479,0.8438220520645561,0.0038599498795856,16.900152440954137,0.0773074621833301,0.8711534182954934,0.0036034011398272,17.447547776963976,0.0721692783685748
86,IRN,0.6489316123172861,0.0068267619499253,12.996867224651837,0.1367270710093004,0.6927327523442282,0.0059002101318115,13.874120837225432,0.1181699985409346,0.7342612728379254,0.005423368317211,14.705858198525243,0.1086197629939341,0.773095898209404,0.0060263755985049,15.483641958927764,0.1206968531244163,0.8065589322177842,0.0066686146552369,16.153842950350995,0.1335596811765513,0.8358399995617123,0.0063734163528574,16.74028709522192,0.1276474200566642,0.8632687817770812,0.0062251816483358,17.28963348830955,0.1246785605710348
87,IRR,0.651891810527718,0.0050554143088671,13.056154370430184,0.1012503433194224,0.6968238502358113,0.0043646474083447,13.956057754907851,0.0874155947590692,0.7388672346155433,0.0039937569059968,14.798106861603564,0.0799873626889961,0.7770597015970206,0.0041668114259207,15.563029409555288,0.0834533159194836,0.810631311811242,0.0045081973722374,16.23540497608674,0.0902906277909083,0.840890137335309,0.0044531633886929,16.841431759565307,0.0891884016650812,0.869847860125714,0.0040110347100721,17.421399927383813,0.0803334042767969
88,ISV,0.6476257297451751,0.0063951493524163,12.970712877909342,0.1280826907451299,0.6922601085918213,0.0049268282904682,13.86465468088786,0.0986750096843264,0.7347756153936319,0.0044770591216154,14.716159502665205,0.0896669877936258,0.7740258188435434,0.0052050943107775,15.50226650238037,0.104248149365683,0.8080125269506192,0.00541298773777,16.182955691019696,0.1084118597108325,0.8377644844784095,0.0050372196380779,16.778830871582034,0.1008859386333888,0.8653076357669459,0.0048380734101922,17.33046785990397,0.096897418066671
89,ITE,0.6541315001535799,0.0137977948244928,13.101011098225912,0.2763436145244252,0.7006427744582421,0.0126511731965374,14.032543551127114,0.2533789618975726,0.739714454853041,0.0101665298935209,14.81507507324219,0.2036162773604275,0.7764427994455552,0.0057252818834401,15.55067403157552,0.1146665180897271,0.8112673190495073,0.0036251329473888,16.248142992655435,0.0726045251835987,0.8452419547069572,0.004760242983785,16.928590393066404,0.0953386225035461,0.8760806923714404,0.0077715272956528,17.54623171488444,0.1556489258300651
90,ITG,0.6539925356058238,0.0049244198502437,13.098227902367002,0.0986267732026672,0.6984390799973655,0.0040594410976677,13.98840773809524,0.0813028922481998,0.7401003894041983,0.0036973270014616,14.822804609026228,0.0740504349179749,0.7783355658144893,0.0039892884043124,15.588582545689173,0.0798978670904099,0.8117871204283408,0.0043000163756996,16.25855362665086,0.0861211579741501,0.8416712849977125,0.0041651149594617,16.857076663062685,0.0834193389195966,0.869559156806794,0.0038684626057172,17.415617748442152,0.0774779559135647
91,ITH,0.660925426207308,0.0040437170590991,13.237080528622585,0.0809879696313426,0.7045620145754833,0.0032175369681748,14.111038484119236,0.0644411521523025,0.7452621659806441,0.0028946581992328,14.926185186476935,0.0579745038800543,0.782873645204966,0.0030856453437887,15.679471653529577,0.0617996135099346,0.8158449857895252,0.0033989172631584,16.339824959891182,0.0680738548382642,0.8454446517756021,0.0032389401673109,16.932650030226934,0.0648698175649208,0.8732871140138974,0.0031428850858657,17.490281648181732,0.0629460167882278
92,ITR,0.6611535979994518,0.0040405307226743,13.24165037609282,0.0809241533667948,0.7044502258959254,0.0031418696741957,14.108799569266184,0.06292568002176,0.7451215002881888,0.0029118650313884,14.923367919921878,0.0583191240351518,0.7826210631291923,0.0030896171364971,15.674412914457774,0.0618791609714782,0.8156041364967694,0.0034881499320636,16.335001206170947,0.0698610156543634,0.8450945744088094,0.0032728113818967,16.925638645717076,0.0655481936377666,0.872877179862795,0.0032130289933564,17.482071446010046,0.0643508659818428
93,ITT,0.6513255885324586,0.0052548502593201,13.044814019686932,0.105244666478689,0.6956606008823115,0.0044944327755739,13.932760080531022,0.0900149490724719,0.7370764420510524,0.0043250380554256,14.762240689042684,0.0866222946778697,0.7754790872424786,0.0048571509176409,15.53137270720109,0.0972795042936048,0.8087669823572361,0.0052217019064971,16.19806599934896,0.1045807679535159,0.838162000574485,0.0049541584757354,16.786792363705842,0.0992223813678765,0.8662960341275308,0.0049261750964448,17.350263601109603,0.0986619274491078
